date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:05:19	223035/223035	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:19%20GMT	https://www.linkneverdie.net/indie-games/?page=1	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/index2679.html	(from )
09:05:19	220/220	---M-Z	200	added ('OK')	text/plain	etag:%2284d4ce475e7ed61:0%22	https://www.linkneverdie.net/robots.txt		(from )
09:05:20	1330/1330	---M--	200	added ('OK')	image/png	etag:%22b36e9f56b95d51:0%22	https://www.linkneverdie.net/Assets/Imgs/Logo/favicon-32x32.png	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Logo/favicon-32x32.png	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:21	5349/5349	---M--	200	added ('OK')	image/png	etag:%2290e49f56b95d51:0%22	https://www.linkneverdie.net/Assets/Imgs/Logo/favicon-96x96.png	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Logo/favicon-96x96.png	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:21	1168/1168	---M--	200	added ('OK')	image/png	etag:%22db89f56b95d51:0%22	https://www.linkneverdie.net/Assets/Imgs/Logo/favicon-16x16.png	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Logo/favicon-16x16.png	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:28	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	E:/DemoCss/linknever/bai1/www.google-analytics.com/analytics.js	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:28	294416/294416	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b3a27fab3fe5e045bc7e8339dcf54aec%22	http://get.optad360.io/sf/2096a71b-3b50-496f-a205-80f3d590781e/plugin.min.js	E:/DemoCss/linknever/bai1/get.optad360.io/sf/2096a71b-3b50-496f-a205-80f3d590781e/plugin.min.js	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:28	198372/198372	---M-Z	200	added ('OK')	application/javascript	etag:%2261c47529-126b3%22	https://mc.yandex.ru/metrika/tag.js	E:/DemoCss/linknever/bai1/mc.yandex.ru/metrika/tag.js	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:28	4255/4255	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d89453438fbf10dcf4c13265c40d5160%22	https://certify-js.alexametrics.com/atrk.js	E:/DemoCss/linknever/bai1/certify-js.alexametrics.com/atrk.js	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:34	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://certify.alexametrics.com/atrk.gif?account=IrPnx10p/I20j3	E:/DemoCss/linknever/bai1/certify.alexametrics.com/atrkb6f3.gif	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:35	19246/19246	---M--	200	added ('OK')	image/png	etag:%226928978916fd51:0%22	https://www.linkneverdie.net/Assets/Imgs/Logo/logo.png	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Logo/logo.png	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:37	13576/13576	---M--	200	added ('OK')	image/jpeg	etag:%224a7accc5c1f7d71:0%22	https://www.linkneverdie.net/Assets/Imgs/Post/thumbnail7693.jpg	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Post/thumbnail7693.jpg	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:37	225430/225430	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:35%20GMT	https://www.linkneverdie.net/indie-games/?page=1&sort=views	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/index1974.html	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:37	225170/225170	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:35%20GMT	https://www.linkneverdie.net/indie-games/?page=1&sort=comment	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/indexced2.html	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:37	223153/223153	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:36%20GMT	https://www.linkneverdie.net/indie-games/?page=1&sort=newest	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/indexd852.html	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:37	224891/224891	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:37%20GMT	https://www.linkneverdie.net/indie-games/?page=1&sort=rating	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/index6cfa.html	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:38	19647/19647	---M--	200	added ('OK')	image/jpeg	etag:%2222323aa74f0d71:0%22	https://www.linkneverdie.net/Assets/Imgs/Post/thumbnail7686.jpg	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Post/thumbnail7686.jpg	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:38	224744/224744	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:37%20GMT	https://www.linkneverdie.net/indie-games/?page=1&sort=like	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/index4a8e.html	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:38	25946/25946	---M--	200	added ('OK')	image/jpeg	etag:%223030e1ca3cf1d71:0%22	https://www.linkneverdie.net/Assets/Imgs/Post/thumbnail7687.jpg	E:/DemoCss/linknever/bai1/www.linkneverdie.net/Assets/Imgs/Post/thumbnail7687.jpg	(from https://www.linkneverdie.net/indie-games/?page=1)
09:05:38	222483/222483	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Dec%202021%2002:05:37%20GMT	https://www.linkneverdie.net/indie-games/?page=1&sort=name	E:/DemoCss/linknever/bai1/www.linkneverdie.net/indie-games/indexd437.html	(from https://www.linkneverdie.net/indie-games/?page=1)
